Location    Name
----------  --------------------------------------------
uksouth     office-365
uksouth     test_sj_win_client
uksouth     Windows-10
uksouth     windows-10-1607-vhd-client-prod-stage
uksouth     windows-10-1803-vhd-client-prod-stage
uksouth     windows-10-1809-vhd-client-office-prod-stage
uksouth     windows-10-1809-vhd-client-prod-stage
uksouth     windows-10-1903-vhd-client-office-prod-stage
uksouth     windows-10-1903-vhd-client-prod-stage
uksouth     windows-10-1909-vhd-client-office-prod-stage
uksouth     windows-10-1909-vhd-client-prod-stage
uksouth     windows-10-2004-vhd-client-office-prod-stage
uksouth     windows-10-2004-vhd-client-prod-stage
uksouth     windows-10-20h2-vhd-client-office-prod-stage
uksouth     windows-10-20h2-vhd-client-prod-stage
uksouth     windows-10-ppe
uksouth     windows-11
uksouth     windows-7
uksouth     windows-7-0-sp1-vhd-client-prod-stage
uksouth     windows-ent-cpc
uksouth     windows-evd
uksouth     windows11preview
uksouth     windows11preview-arm64
