Location    Name
----------  -----------------------------------------
uksouth     19h1gen2servertest
uksouth     microsoftserveroperatingsystems-previews
uksouth     servertesting
uksouth     windows-10-1607-vhd-server-prod-stage
uksouth     windows-10-1607-vhd-sf-server-prod-stage
uksouth     windows-10-1803-vhd-server-prod-stage
uksouth     windows-10-1809-vhd-server-prod-stage
uksouth     windows-10-1809-vhd-sf-server-prod-stage
uksouth     windows-10-1903-vhd-server-prod-stage
uksouth     windows-10-1909-vhd-server-prod-stage
uksouth     windows-10-2004-vhd-server-prod-stage
uksouth     windows-10-20h2-vhd-server-prod-stage
uksouth     windows-7-0-sp1-vhd-server-prod-stage
uksouth     windows-8-0-vhd-server-prod-stage
uksouth     windows-8-1-vhd-server-prod-stage
uksouth     windows-arm64-previews
uksouth     windows-cvm
uksouth     windows-server-2012-vhd-server-prod-stage
uksouth     WindowsServer
uksouth     windowsserver-gen2preview
uksouth     windowsserver-previewtest
uksouth     windowsserverdotnet
uksouth     WindowsServerSemiAnnual
