Location    Name
----------  -------------------------------------------------
uksouth     2008-R2-SP1
uksouth     2008-R2-SP1-smalldisk
uksouth     2008-R2-SP1-zhcn
uksouth     2012-Datacenter
uksouth     2012-datacenter-gensecond
uksouth     2012-Datacenter-smalldisk
uksouth     2012-datacenter-smalldisk-g2
uksouth     2012-Datacenter-zhcn
uksouth     2012-datacenter-zhcn-g2
uksouth     2012-R2-Datacenter
uksouth     2012-r2-datacenter-gensecond
uksouth     2012-R2-Datacenter-smalldisk
uksouth     2012-r2-datacenter-smalldisk-g2
uksouth     2012-R2-Datacenter-zhcn
uksouth     2012-r2-datacenter-zhcn-g2
uksouth     2016-Datacenter
uksouth     2016-datacenter-gensecond
uksouth     2016-datacenter-gs
uksouth     2016-Datacenter-Server-Core
uksouth     2016-datacenter-server-core-g2
uksouth     2016-Datacenter-Server-Core-smalldisk
uksouth     2016-datacenter-server-core-smalldisk-g2
uksouth     2016-Datacenter-smalldisk
uksouth     2016-datacenter-smalldisk-g2
uksouth     2016-Datacenter-with-Containers
uksouth     2016-datacenter-with-containers-g2
uksouth     2016-datacenter-with-containers-gs
uksouth     2016-Datacenter-zhcn
uksouth     2016-datacenter-zhcn-g2
uksouth     2019-Datacenter
uksouth     2019-Datacenter-Core
uksouth     2019-datacenter-core-g2
uksouth     2019-Datacenter-Core-smalldisk
uksouth     2019-datacenter-core-smalldisk-g2
uksouth     2019-Datacenter-Core-with-Containers
uksouth     2019-datacenter-core-with-containers-g2
uksouth     2019-Datacenter-Core-with-Containers-smalldisk
uksouth     2019-datacenter-core-with-containers-smalldisk-g2
uksouth     2019-datacenter-gensecond
uksouth     2019-datacenter-gs
uksouth     2019-Datacenter-smalldisk
uksouth     2019-datacenter-smalldisk-g2
uksouth     2019-Datacenter-with-Containers
uksouth     2019-datacenter-with-containers-g2
uksouth     2019-datacenter-with-containers-gs
uksouth     2019-Datacenter-with-Containers-smalldisk
uksouth     2019-datacenter-with-containers-smalldisk-g2
uksouth     2019-Datacenter-zhcn
uksouth     2019-datacenter-zhcn-g2
uksouth     2022-datacenter
uksouth     2022-datacenter-azure-edition
uksouth     2022-datacenter-azure-edition-core
uksouth     2022-datacenter-azure-edition-core-smalldisk
uksouth     2022-datacenter-azure-edition-smalldisk
uksouth     2022-datacenter-core
uksouth     2022-datacenter-core-g2
uksouth     2022-datacenter-core-smalldisk
uksouth     2022-datacenter-core-smalldisk-g2
uksouth     2022-datacenter-g2
uksouth     2022-datacenter-smalldisk
uksouth     2022-datacenter-smalldisk-g2
uksouth     datacenter-core-1803-with-containers-smalldisk-g2
uksouth     datacenter-core-1809-with-containers-smalldisk-g2
uksouth     Datacenter-Core-1903-with-Containers-smalldisk
uksouth     datacenter-core-1903-with-containers-smalldisk-g2
uksouth     datacenter-core-1909-with-containers-smalldisk
uksouth     datacenter-core-1909-with-containers-smalldisk-g1
uksouth     datacenter-core-1909-with-containers-smalldisk-g2
uksouth     datacenter-core-2004-with-containers-smalldisk
uksouth     datacenter-core-2004-with-containers-smalldisk-g2
uksouth     datacenter-core-20h2-with-containers-smalldisk
uksouth     datacenter-core-20h2-with-containers-smalldisk-g2
uksouth     datacenter-core-20h2-with-containers-smalldisk-gs
